fecha,municipio,pm10,pm25,o3,precipitacion,humedadrelativa,temperatura,dia_semana
2015-12-07 00:00:00,129,66.6637949327515,30.9,86.5573875,0,69.7,20.7,1
2015-12-07 00:00:00,212,52.67,,,0,76.6,22.5,1
2015-12-07 00:00:00,266,,,,0,69.7,20.7,1
2015-12-07 00:00:00,308,54,21.9,47.704925,0,76.6,22.5,1
2015-12-07 00:00:00,360,70.7816960805815,31.6823797501051,87.6147625,0,69.7,20.7,1
2015-12-07 00:00:00,380,56.1780287920072,62.5,,0,69.7,20.7,1
2015-12-07 00:00:00,631,57,,,0,69.7,20.7,1
2015-12-06 00:00:00,1,59.3210518287948,26.3210495535577,72.794093849422,1,56,23.6,0
2015-12-06 00:00:00,79,24,,59.5082125,5,74.4,22.4,0
2015-12-06 00:00:00,88,38.1326609620712,,68.8524625,5,74.4,22.4,0
2015-12-06 00:00:00,129,52.429042462576,21.9,91.475425,0,62.9,21.1,0
2015-12-06 00:00:00,212,42.33,,,5,74.4,22.4,0
2015-12-06 00:00:00,266,,,,0,62.9,21.1,0
2015-12-06 00:00:00,308,40,16.6,51.098375,5,74.4,22.4,0
2015-12-06 00:00:00,360,76.1594875046792,28.282492365848,71.975425,0,62.9,21.1,0
2015-12-06 00:00:00,380,57.0543321779519,39.8,,0,62.9,21.1,0
2015-12-06 00:00:00,631,55,,,0,62.9,21.1,0
2015-12-05 00:00:00,1,67.256504472617,31.4589114126713,62.1010863890285,0,51,25.4,6
2015-12-05 00:00:00,79,23,,57.1229375,0,74.5,22.6,6
2015-12-05 00:00:00,88,36.5698609555131,,63.196725,0,74.5,22.6,6
2015-12-05 00:00:00,129,59.8562958300412,30.2,98.3606375,0,64.3,21.7,6
2015-12-05 00:00:00,212,32,,,0,74.5,22.6,6
2015-12-05 00:00:00,266,,,,0,64.3,21.7,6
2015-12-05 00:00:00,308,39,18,37.8688625,0,74.5,22.6,6
2015-12-05 00:00:00,360,67.3853589535737,25.0572748050057,62.6311625,0,64.3,21.7,6
2015-12-05 00:00:00,380,56.9048502996402,47.8,,0,64.3,21.7,6
2015-12-05 00:00:00,631,54,,,0,64.3,21.7,6
2015-12-04 00:00:00,1,76.7509287229666,35.5007564158568,81.008298630708,0,62,24.4,5
2015-12-04 00:00:00,79,22,,42.934425,0,78.4,22,5
2015-12-04 00:00:00,88,40.5976159760144,,51.14755,0,78.4,22,5
2015-12-04 00:00:00,129,61.0003252619388,28.4,67.37705,0.1,73.6,20,5
2015-12-04 00:00:00,212,31,,,0,78.4,22,5
2015-12-04 00:00:00,266,,,,0.1,73.6,20,5
2015-12-04 00:00:00,308,40,20.5,25.40165,0,78.4,22,5
2015-12-04 00:00:00,360,72.2918932117746,27.6160541099037,48.442625,0.1,73.6,20,5
